dataset_index,fs7_w1,fs7_w2,fs7_w3,fs7_w4,fs7_w5,fs7_w6,fs7_w7
1,0.7878492329201372,0.06928477206284454,0.42248165447687214,0.5044194861385605,0.24924843100291816,0.21308109580600326,0.25768344387777103
2,0.028649027409862977,0.0064974723147358865,0.021099489410288216,0.9746528299848856,0.9861972479400168,0.9467905900405196,0.7061897075411622
3,0.8832806451480969,0.8254919655228359,0.8473918890127374,0.768561518487214,0.5337063889273733,0.287150564350622,0.02796508271761197
4,0.43573768730322854,0.8405089046377829,0.898586304506288,0.6043035948767549,0.47280045057042297,0.4609022061933141,0.6468738547217707
5,0.8767120193016754,0.776933147478114,0.48481960127661294,0.4626605164021549,0.5838323552279926,0.47319146085528196,0.012703187775006373
6,0.5513719508902873,0.3427468861778204,0.09383087246925424,0.46753343307241485,0.7890980740408261,0.8133534997483671,0.7622369342779491
7,0.7322094238685978,0.26447986885382313,0.29246889409489246,0.5084879669799599,0.31592850437473136,0.24980285694705714,0.6006007684214348
8,0.04399842740307984,0.47020459804322234,0.8840556539638851,0.5038817463504279,0.26701283624888944,0.28108221663032107,0.4726136686524218
9,0.0982694076914909,0.2918055089867759,0.6827501055514498,0.7567057714008006,0.8425442412003397,0.9541866997974994,0.9838464835741484
10,0.9756009783536831,0.8406677274780897,0.6983585293754048,0.7774494518521649,0.737691270160731,0.6161524641334323,0.4707153021890864
11,0.272806503130795,0.16737784980338646,0.33983411057132074,0.8486297303827864,0.8728516641305439,0.8435751638700005,0.781247235418714
12,0.5976358658238708,0.4005405789944877,0.35550759049375497,0.49820619029199464,0.5161109411735312,0.44263633858071955,0.20710219195613594
13,0.032594776143062935,0.15685722967970317,0.3108250136664085,0.5933069248990631,0.5964916607842132,0.4619246915922099,0.39871654485232677
14,0.5434042668009624,0.7720792157001635,0.9084940695506133,0.8381998987718974,0.8570358775025685,0.922169737411173,0.8826650781011115
15,0.02932073565398211,0.0464757827465393,0.4291403265577702,0.5486896552217585,0.42864574871328603,0.4455854644741118,0.5217178842121065
16,0.7640818494358372,0.43185587459728403,0.37571932057109025,0.7079689590293512,0.7980980919492381,0.8416497202654699,0.7368965435824559
17,0.26302785499903036,0.0904645555315767,0.17436072658977322,0.8880997133283893,0.7583893815408788,0.40907100914986433,0.10125434323063055
18,0.4718626735069433,0.5033634525662708,0.8424914735793739,0.684776107603478,0.36796535575649975,0.35485677262548215,0.5714971711675761
19,0.07407406466756128,0.05673345551257933,0.1493960804633045,0.9473753519045688,0.9551320376572194,0.9516092744518645,0.7151160081039191
20,0.37059585347132723,0.5255228605213328,0.5992898559363359,0.4642593612753443,0.6105957899821316,0.7105265022449136,0.6287617387297811
21,0.3352309457881569,0.6033309234474276,0.7043345307065486,0.258523219310412,0.1381440424119909,0.13518020501416025,0.5408811060920937
22,0.8163779909236579,0.22601938862041945,0.46293824037758025,0.6696265065787661,0.43500244711086794,0.28986225591376363,0.19821660611382755
23,0.11505678959401362,0.25411733924977137,0.7067416381421703,0.7808514089780053,0.47431233520217675,0.2778148262808029,0.19795263384891235
24,0.5262283386116391,0.18688046828435903,0.25082301089432973,0.02307884496169817,0.01807879032576489,0.030131126433389843,0.07219594574783854
25,0.23188783776336552,0.6012623467232426,0.4808503584453765,0.06791270771776775,0.14129773730468465,0.12639192913200228,0.09139125824983546
26,0.9319432077662028,0.8771849032173954,0.7649147176663078,0.45125066642134704,0.25475764760603176,0.21030009560538196,0.3355710158245295
27,0.5535013907875604,0.49922955829634724,0.6127120566800632,0.7336508767760762,0.7027758665720005,0.5665390932847456,0.24730421406284334
28,0.6614978125695316,0.8088776267153102,0.2180438466517582,0.5775497432348361,0.8686376365567259,0.8959805375928319,0.7962853145738987
29,0.878564686297416,0.5008091994491005,0.8019030411904294,0.9116035997146806,0.7226155988037587,0.7299854577377255,0.9840414830980959
30,0.5023434005959915,0.8796629204297375,0.8074536028264124,0.12365369223951367,0.49015228571189057,0.779864683246745,0.9069364263993913
31,0.3648975238833335,0.010062612786232796,0.014714725002958598,0.7314474004008178,0.989067505964289,0.9972363642398023,0.8640618944258444
32,0.2504901495919671,0.26706815363457076,0.4232366415582405,0.901108703288645,0.9123528171295558,0.8890721669691978,0.32771647385184594
33,0.5880044740378991,0.6368196757677923,0.5646718915357286,0.6983130706577263,0.7886617870728023,0.8278991953144559,0.765444494648846
34,0.5654705521859765,0.7828435245380004,0.8686176522365426,0.242915497339718,0.23270434363284373,0.3735243344015235,0.3809035486623727
35,0.7211917833087272,0.6423023030199156,0.3013606524327123,0.5223945025571061,0.7203665020930414,0.6983327316659409,0.5279999790049857
36,0.16473475689798403,0.9367839038543437,0.917525655425713,0.022037697842050195,0.02696526842948172,0.14114990201707583,0.5198265526966411
37,0.4706356212434102,0.09062745013823847,0.6670723673275378,0.5088076093705723,0.1286996448121891,0.10386253259988928,0.2997828382317188
38,0.6900527867516443,0.5295331142710739,0.6754983095154574,0.8256190202302092,0.8051614477199329,0.8126354930120537,0.6769989604027129
39,0.6535701790898863,0.5061368041352162,0.3013473922901307,0.2162585516714028,0.36351348511489656,0.5099681161587344,0.6058367751293628
40,0.4657093744912603,0.17499348332015877,0.23119687756385618,0.8559325618797331,0.8431356395862396,0.7241746558277894,0.19806123965023706
41,0.6567684332739507,0.6368829075272862,0.7034588566634667,0.4130288276408995,0.10030303625165196,0.01884778792069907,0.00484123921651244
42,0.10084792214615974,0.7275978750893537,0.9206329400310919,0.3419126395677405,0.22664579878379149,0.28214009235903,0.32682670692208865
43,0.6834044300524147,0.7793113841483188,0.8008904024857704,0.5868081551494426,0.36133924671008166,0.3924749215070383,0.47391548311191506
44,0.5120193786370526,0.43688455379943375,0.3797380532681067,0.3845355682255443,0.4378148365255126,0.6021891551076541,0.8505700508621016
45,0.7081760229737987,0.08435157890673534,0.33957109865573715,0.975747253453084,0.9938536804456298,0.987239790761855,0.45802935403205886
46,0.33959655341819645,0.5441135906504122,0.8044379042674291,0.40321129592645955,0.37374899518053667,0.3568513408938344,0.25676396073440494
47,0.0902306964451582,0.18044576028892267,0.4947684414639089,0.7480645473419802,0.2790540562691706,0.16145570981742985,0.5711014064117195
48,0.5219564906678167,0.7364848375436579,0.35199970922589885,0.04328991743920901,0.1528561988954562,0.2080925804465275,0.34640955834871967
49,0.46209606665961284,0.5519635312752764,0.6685730893607187,0.8355271661402055,0.905798012731314,0.863385599521373,0.5629927920116307
50,0.5412119672030608,0.7735630018567018,0.706687666555539,0.19755954255036304,0.20983385840537985,0.25976257751237725,0.4104159072300556
