truth_id,wa,correct_direction,direction_power,direction_low95,direction_high95,depth_power,depth_low95,depth_high95,false_sign_fraction,false_sign_low95,false_sign_high95,correct_mass_median,correct_mass_low68,correct_mass_high68,asimov_correct_mass
wam060,-0.6,heat_death_compatible,1.0,0.9637833073548094,1.0,0.9,0.8237774022598247,0.9509953107785141,0.0,0.0,0.03621669264519054,0.9965900778314147,0.9682635565239538,1.0,0.9956077053397754
wam030,-0.3,heat_death_compatible,0.93,0.8610802715441336,0.9713947110925815,0.47,0.3694051641943439,0.572418515109955,0.07,0.028605288907418584,0.13891972845586648,0.9222907678351928,0.5901690017709191,0.9884534320061477,0.9319859402460456
wam015,-0.15,heat_death_compatible,0.84,0.7532124025889679,0.9056897100260538,0.33,0.23919853462260188,0.43117275077757106,0.16,0.09431028997394621,0.2467875974110321,0.8728944628322666,0.5262308668707534,0.9777809477464199,0.7898340054393698
wap015,0.15,RIP,0.77,0.6751412672248969,0.8482683886985327,0.18,0.11031122915371111,0.2694770859669012,0.23,0.15173161130146726,0.3248587327751031,0.7285515070193552,0.4107918022649544,0.932805346640247,0.7638252148997134
wap030,0.3,RIP,0.93,0.8610802715441336,0.9713947110925815,0.57,0.46713373832484634,0.6686089833686121,0.07,0.028605288907418584,0.13891972845586648,0.9477355093724511,0.6696852682036085,0.9962707681955332,0.9332532895542869
wap060,0.6,RIP,1.0,0.9637833073548094,1.0,0.98,0.9296160675289299,0.9975686631760752,0.0,0.0,0.03621669264519054,0.9991485062615595,0.9841223293311229,1.0,0.9994259471871412
